                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.79662,                 1.3933,                 0.6586,                  1.072,                0.82082,                0.76707,                0.81678,                0.63407,                0.74625,                0.69478,                0.67338,                0.23192,                0.85297,                 1.1784,                0.86772,                0.97466,              0.0009704,              0.0009704,              0.0009704
                     55,                0.77961,                 1.3643,                0.64613,                 1.0544,                0.89636,                0.71888,                0.79553,                0.61271,                0.80753,                0.64659,                0.66054,                0.22899,                0.88268,                 1.1773,                 0.8654,                0.98149,              0.0009506,              0.0009506,              0.0009506
                     56,                0.77974,                 1.3899,                0.64344,                 1.0583,                0.84382,                0.71604,                0.78817,                  0.598,                0.72397,                0.65462,                0.63633,                0.21982,                0.90477,                 1.1737,                0.94102,                0.99469,              0.0009308,              0.0009308,              0.0009308
                     57,                0.77807,                 1.3887,                 0.6452,                 1.0582,                0.83805,                0.72736,                0.76344,                0.58589,                0.72142,                0.66265,                0.61443,                0.21142,                0.87962,                 1.1623,                0.91556,                0.98857,               0.000911,               0.000911,               0.000911
                     58,                0.76175,                 1.3622,                 0.6408,                 1.0506,                0.85036,                0.76305,                0.79221,                0.60631,                0.79041,                0.71184,                0.67981,                0.22601,                0.88736,                 1.1504,                0.85836,                 1.0191,              0.0008912,              0.0008912,              0.0008912
                     59,                0.76908,                 1.3699,                0.63664,                 1.0558,                0.84709,                  0.751,                0.78503,                0.59897,                0.75322,                0.68643,                0.65297,                0.22259,                  0.894,                 1.1487,                0.86859,                0.99115,              0.0008714,              0.0008714,              0.0008714
                     60,                0.77662,                 1.3909,                0.63285,                 1.0581,                0.83555,                0.73494,                0.78097,                0.60505,                0.75351,                0.65863,                0.64115,                0.21661,                0.85057,                 1.1681,                0.87997,                0.98701,              0.0008516,              0.0008516,              0.0008516
                     61,                0.75812,                 1.3531,                0.61903,                 1.0475,                0.81445,                0.73896,                0.76509,                0.59383,                0.77357,                0.68273,                0.65976,                0.21487,                0.86438,                 1.1576,                0.86551,                 1.0119,              0.0008318,              0.0008318,              0.0008318
                     62,                0.75381,                 1.3563,                0.61815,                 1.0472,                 0.8411,                0.74699,                0.76902,                0.58675,                 0.7749,                0.67742,                0.65583,                 0.2155,                0.88642,                 1.1584,                0.86431,                 1.0449,               0.000812,               0.000812,               0.000812
                     63,                 0.7485,                  1.358,                0.60928,                 1.0453,                 0.8399,                0.76707,                0.77767,                0.60517,                0.75082,                0.68675,                0.64881,                0.21634,                0.83809,                 1.1623,                 0.8406,                 1.0219,              0.0007922,              0.0007922,              0.0007922
                     64,                0.75097,                 1.3759,                 0.6061,                 1.0392,                0.82532,                0.75502,                0.78543,                0.60832,                0.77072,                0.68675,                 0.6696,                0.22497,                0.86635,                 1.1892,                0.84186,                0.98872,              0.0007724,              0.0007724,              0.0007724
                     65,                0.74619,                 1.3498,                0.60877,                   1.04,                0.87806,                0.72297,                0.80146,                 0.6286,                0.79774,                0.65462,                0.68482,                 0.2263,                0.83451,                 1.1642,                0.83186,                0.98115,              0.0007526,              0.0007526,              0.0007526
                     66,                0.74153,                 1.3416,                0.59466,                 1.0397,                0.85312,                  0.751,                0.80267,                0.62871,                0.78038,                0.68675,                0.67303,                 0.2299,                0.81735,                 1.1778,                0.81995,                0.97571,              0.0007328,              0.0007328,              0.0007328
                     67,                0.73315,                 1.3387,                0.58947,                 1.0336,                0.87216,                0.74699,                 0.8106,                0.63084,                0.75167,                0.69076,                0.67114,                0.23275,                0.82326,                  1.154,                 0.8214,                 0.9625,               0.000713,               0.000713,               0.000713
                     68,                0.73765,                  1.344,                 0.6008,                 1.0369,                 0.8505,                0.75395,                0.80954,                0.63516,                0.78707,                0.69772,                0.68866,                0.22694,                0.81248,                 1.1571,                0.82823,                0.98257,              0.0006932,              0.0006932,              0.0006932
                     69,                0.73354,                  1.347,                0.58623,                 1.0338,                0.85279,                0.75502,                0.79932,                0.62989,                0.76985,                0.68675,                0.66957,                0.22615,                0.82481,                 1.1556,                0.81851,                0.97836,              0.0006734,              0.0006734,              0.0006734
                     70,                0.73044,                 1.3569,                0.56839,                 1.0318,                 0.8244,                0.75417,                0.79276,                0.62291,                0.76531,                0.69408,                0.68403,                0.23222,                0.81984,                 1.1681,                0.86481,                  0.965,              0.0006536,              0.0006536,              0.0006536
                     71,                0.73078,                 1.3523,                0.57343,                 1.0308,                0.83515,                0.75282,                 0.7913,                0.61309,                0.74556,                 0.6747,                 0.6482,                0.22206,                0.83558,                 1.1722,                0.85878,                0.99517,              0.0006338,              0.0006338,              0.0006338
                     72,                0.71642,                 1.3443,                0.56077,                 1.0249,                0.87985,                0.75904,                0.80129,                0.62286,                0.79184,                0.68273,                  0.662,                0.22275,                0.86926,                 1.1917,                0.81536,                  1.024,               0.000614,               0.000614,               0.000614
                     73,                0.71885,                  1.331,                0.55895,                 1.0259,                0.86206,                0.72786,                0.79489,                0.62467,                 0.7812,                0.65959,                0.66686,                0.22522,                0.83137,                 1.1825,                0.81539,                0.98029,              0.0005942,              0.0005942,              0.0005942
                     74,                0.71657,                 1.3323,                  0.563,                 1.0254,                0.82899,                0.72691,                0.78419,                0.62331,                0.77563,                0.67068,                0.66296,                0.22052,                0.79279,                 1.1752,                0.84064,                0.95471,              0.0005744,              0.0005744,              0.0005744
                     75,                0.71292,                 1.3306,                0.54875,                 1.0224,                0.85416,                0.73896,                0.79685,                0.62781,                0.77106,                0.66667,                0.66263,                0.22912,                0.84194,                 1.1875,                0.83989,                0.99946,              0.0005546,              0.0005546,              0.0005546
                     76,                0.71633,                 1.3313,                0.54638,                   1.03,                0.82719,                0.74297,                0.79985,                 0.6356,                0.78821,                0.65462,                0.68411,                0.22589,                0.82382,                 1.1846,                  0.803,                 0.9897,              0.0005348,              0.0005348,              0.0005348
                     77,                0.70688,                 1.3268,                0.54529,                 1.0173,                0.88668,                0.72276,                0.78853,                0.61262,                0.80593,                0.65042,                0.66311,                 0.2235,                0.84057,                 1.1708,                0.81707,                 1.0043,               0.000515,               0.000515,               0.000515
                     78,                0.69808,                 1.3316,                0.53684,                  1.016,                0.87674,                0.73494,                0.79707,                0.63324,                0.80535,                 0.6747,                0.67563,                0.22686,                0.82836,                 1.1909,                0.81977,                0.96478,              0.0004952,              0.0004952,              0.0004952
                     79,                0.69733,                 1.3248,                0.52803,                 1.0169,                0.87761,                0.71997,                0.78449,                0.62735,                0.81501,                0.66265,                0.65807,                0.22391,                0.80804,                 1.1641,                0.83847,                0.96327,              0.0004754,              0.0004754,              0.0004754
                     80,                0.68681,                 1.3063,                0.51695,                 1.0046,                0.82466,                0.74699,                0.78382,                0.62695,                0.76533,                0.69076,                0.67316,                0.22876,                0.81349,                 1.1647,                 0.8259,                0.97268,              0.0004556,              0.0004556,              0.0004556
                     81,                0.68942,                 1.3013,                0.50676,                 1.0163,                0.83715,                0.73092,                0.78116,                0.62116,                0.78118,                0.66667,                0.68889,                0.23029,                0.83549,                 1.1782,                 0.8536,                0.97808,              0.0004358,              0.0004358,              0.0004358
                     82,                0.69305,                 1.3123,                0.51602,                  1.014,                0.85566,                0.72691,                0.77776,                0.62274,                0.79989,                0.67871,                0.67916,                0.23101,                0.80187,                 1.1616,                 0.8669,                0.97126,               0.000416,               0.000416,               0.000416
                     83,                0.68344,                  1.298,                0.51553,                 1.0054,                0.81297,                0.74297,                0.79111,                0.61933,                0.77962,                0.63935,                0.65299,                 0.2209,                0.83518,                 1.1716,                 0.8239,                0.99806,              0.0003962,              0.0003962,              0.0003962
                     84,                0.68686,                 1.3075,                0.50175,                 1.0083,                0.87222,                0.74017,                0.79573,                0.63327,                0.79227,                0.67395,                0.65498,                 0.2184,                0.82428,                 1.1614,                0.79737,                0.98298,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.6736,                 1.2994,                0.50242,                 1.0043,                0.86226,                0.70396,                0.77949,                0.62104,                0.80814,                0.66667,                0.66952,                0.22315,                0.82259,                 1.1836,                0.84732,                0.97975,              0.0003566,              0.0003566,              0.0003566
                     86,                0.67498,                 1.3047,                0.49717,                0.99801,                0.87081,                0.73089,                0.78488,                0.63092,                0.80898,                 0.6747,                0.67847,                0.23434,                0.81788,                 1.1719,                0.80361,                 1.0014,              0.0003368,              0.0003368,              0.0003368
                     87,                0.67567,                 1.2975,                0.49533,                 1.0028,                0.85547,                0.73494,                0.79351,                 0.6266,                0.76694,                0.65863,                 0.6491,                0.21642,                0.84327,                 1.1807,                0.81625,                  1.024,               0.000317,               0.000317,               0.000317
                     88,                0.66862,                 1.2985,                0.49708,                 1.0073,                0.84645,                0.74297,                0.79151,                0.63684,                0.77394,                0.67371,                0.66311,                0.23386,                0.79839,                 1.1733,                0.81003,                0.98136,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.6575,                 1.2915,                0.48611,                0.99679,                0.87525,                0.73263,                0.78255,                 0.6274,                0.81279,                0.68003,                0.67688,                0.23474,                 0.8205,                 1.1676,                0.82662,                0.99648,              0.0002774,              0.0002774,              0.0002774
                     90,                0.65537,                 1.2816,                0.47853,                0.99033,                0.82929,                0.76087,                0.78931,                0.62516,                0.80247,                 0.6506,                0.65904,                0.22737,                 0.8101,                 1.1758,                 0.8233,                0.98888,              0.0002576,              0.0002576,              0.0002576
                     91,                0.51356,                0.94158,                0.43221,                0.97647,                0.81702,                0.76707,                0.79486,                0.63542,                0.78311,                0.69478,                 0.6753,                0.22697,                0.81042,                 1.1982,                 0.8015,                 0.9954,              0.0002378,              0.0002378,              0.0002378
                     92,                0.50256,                0.94019,                0.42484,                0.96903,                0.83128,                0.75904,                0.79921,                0.64532,                0.79672,                 0.6747,                 0.6696,                 0.2327,                0.79481,                 1.1935,                0.78984,                0.98531,               0.000218,               0.000218,               0.000218
                     93,                0.49476,                0.93725,                0.40229,                0.95903,                0.86677,                  0.751,                0.79303,                0.63356,                0.80413,                0.69247,                0.67898,                0.23711,                0.79107,                 1.2001,                0.79464,                0.99131,              0.0001982,              0.0001982,              0.0001982
                     94,                0.49232,                0.93045,                0.40039,                 0.9609,                0.86328,                0.76074,                 0.7958,                0.62389,                0.78851,                0.68675,                0.66873,                0.22547,                0.80445,                 1.2074,                0.78114,                  1.001,              0.0001784,              0.0001784,              0.0001784
                     95,                0.49345,                0.92584,                  0.394,                 0.9671,                0.85153,                  0.751,                0.79562,                0.62953,                0.78191,                0.67675,                0.67109,                0.22871,                0.80742,                 1.2055,                0.76251,                0.99549,              0.0001586,              0.0001586,              0.0001586
                     96,                0.48017,                0.92499,                0.37449,                0.95691,                0.83398,                0.74645,                0.78475,                0.61698,                0.79695,                0.65863,                0.65989,                 0.2272,                0.80026,                 1.1983,                0.80584,                0.97737,              0.0001388,              0.0001388,              0.0001388
                     97,                0.47412,                0.92038,                0.38365,                 0.9523,                0.85921,                0.75502,                0.78085,                0.61744,                0.78043,                0.68518,                0.64712,                0.22343,                0.80134,                 1.2053,                 0.8003,                0.99277,               0.000119,               0.000119,               0.000119
                     98,                0.46941,                0.91136,                0.36118,                0.94921,                0.86681,                0.73896,                0.79027,                0.63371,                0.79404,                0.68273,                0.67964,                0.23444,                0.79373,                 1.2038,                0.78603,                0.99911,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.46503,                0.92309,                 0.3649,                0.94595,                0.82875,                0.74297,                0.79128,                0.62773,                0.78807,                 0.6747,                0.67821,                0.23028,                0.80039,                 1.2014,                0.78181,                 1.0008,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.45387,                0.91888,                0.36504,                0.94024,                0.85715,                0.72295,                0.79232,                0.63407,                0.80443,                 0.6747,                0.67855,                0.22864,                0.79594,                 1.1921,                0.79298,                0.99101,               5.96e-05,               5.96e-05,               5.96e-05
