                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 0.8047,                 1.4032,                0.69431,                 1.0683,                0.79154,                0.74297,                0.77795,                0.58658,                0.68863,                0.71486,                0.66682,                0.21314,                0.97581,                 1.1799,                0.89826,                 1.0504,              0.0011684,              0.0011684,              0.0011684
                     45,                0.82183,                 1.4173,                0.69963,                  1.074,                0.75788,                0.74171,                0.76211,                0.56893,                0.67644,                0.67169,                0.62993,                0.19426,                 0.9744,                 1.1839,                0.93787,                 1.0483,              0.0011486,              0.0011486,              0.0011486
                     46,                0.81035,                 1.4002,                0.68515,                 1.0674,                0.83469,                0.70683,                0.78974,                0.60567,                0.78054,                0.63855,                0.66531,                0.20227,                 0.8907,                 1.1939,                0.87836,                 1.0004,              0.0011288,              0.0011288,              0.0011288
                     47,                0.80532,                 1.4051,                0.69086,                 1.0639,                0.82762,                0.73092,                0.77067,                0.59124,                0.75655,                 0.6506,                0.64673,                0.20882,                0.93942,                 1.1707,                0.92513,                 1.0479,               0.001109,               0.001109,               0.001109
                     48,                0.81501,                 1.4127,                0.68953,                 1.0709,                0.81362,                0.73633,                0.76491,                0.59529,                0.73538,                0.66265,                0.63584,                0.20546,                0.93077,                 1.1915,                0.93647,                 1.0635,              0.0010892,              0.0010892,              0.0010892
                     49,                0.80454,                 1.4025,                0.67394,                 1.0652,                0.83818,                0.72289,                0.78349,                0.60699,                0.77443,                 0.6506,                0.66283,                 0.2121,                0.89242,                  1.181,                0.91708,                 1.0263,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.8096,                   1.42,                0.66659,                 1.0611,                0.82357,                0.69076,                 0.7531,                0.59089,                 0.7584,                0.63454,                0.62237,                0.20586,                0.92637,                 1.1825,                0.93007,                 1.0294,              0.0010496,              0.0010496,              0.0010496
                     51,                0.79422,                 1.3919,                0.65339,                 1.0582,                0.80964,                0.71742,                0.76339,                0.59543,                0.73099,                0.65462,                 0.6342,                0.20827,                0.90879,                 1.1789,                0.91142,                 1.0041,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.7887,                 1.4023,                0.65707,                 1.0537,                 0.8021,                0.73249,                0.77848,                0.60565,                0.75408,                0.64037,                0.65744,                0.21006,                0.90907,                 1.2018,                 0.8732,                 1.0279,                0.00101,                0.00101,                0.00101
                     53,                0.78637,                 1.3966,                0.64252,                 1.0504,                0.82565,                0.69478,                  0.774,                0.59711,                0.73497,                0.61847,                0.62719,                0.20032,                0.91748,                 1.1741,                 0.9203,                 1.0526,              0.0009902,              0.0009902,              0.0009902
                     54,                0.77905,                  1.382,                0.65825,                 1.0497,                0.82477,                0.71486,                0.78108,                0.59364,                0.78167,                0.66667,                0.66093,                0.19935,                0.91869,                 1.1677,                0.88637,                 1.0327,              0.0009704,              0.0009704,              0.0009704
                     55,                0.78853,                 1.3921,                0.63334,                  1.055,                0.76333,                 0.7751,                0.77755,                0.60984,                 0.7096,                0.69676,                0.65387,                0.21929,                0.89954,                 1.1755,                0.90228,                 1.0168,              0.0009506,              0.0009506,              0.0009506
                     56,                0.78208,                 1.3849,                 0.6401,                  1.049,                0.81526,                0.74436,                0.79153,                0.60386,                0.73608,                0.67207,                0.65678,                0.20957,                0.91169,                 1.2015,                0.88645,                 1.0336,              0.0009308,              0.0009308,              0.0009308
                     57,                0.76965,                 1.3675,                0.62376,                  1.044,                0.82354,                0.74297,                0.78224,                 0.6064,                0.75987,                0.68273,                0.67102,                0.21523,                0.89427,                 1.1838,                0.86353,                 1.0194,               0.000911,               0.000911,               0.000911
                     58,                0.77098,                 1.3649,                 0.6215,                 1.0446,                0.82816,                0.75904,                0.77743,                0.58879,                0.75832,                0.65863,                0.64338,                0.20865,                0.91393,                  1.184,                0.88475,                 1.0482,              0.0008912,              0.0008912,              0.0008912
                     59,                0.77295,                 1.3654,                0.62265,                 1.0489,                0.79441,                  0.751,                0.77857,                0.59179,                0.76409,                0.62651,                0.64701,                 0.2135,                0.87673,                 1.1748,                0.89251,                 1.0121,              0.0008714,              0.0008714,              0.0008714
