                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.79997,                 1.3935,                0.66154,                 1.0437,                0.82326,                0.72957,                0.78789,                0.60341,                0.72568,                0.65863,                 0.6315,                0.21019,                0.90898,                 1.1685,                0.88995,                  1.014,                0.00101,                0.00101,                0.00101
                     53,                0.78911,                 1.3803,                0.66103,                 1.0386,                0.85455,                0.69478,                  0.788,                0.60743,                0.78942,                0.62651,                0.64929,                0.21463,                0.88663,                 1.1606,                0.85793,                 1.0072,              0.0009902,              0.0009902,              0.0009902
                     54,                0.77586,                 1.3516,                0.63231,                 1.0368,                0.86319,                0.73092,                0.81015,                0.61277,                0.75535,                 0.6747,                0.64867,                0.20322,                0.87906,                 1.1726,                0.84875,                 1.0042,              0.0009704,              0.0009704,              0.0009704
                     55,                0.77979,                 1.3589,                 0.6318,                 1.0393,                0.79966,                0.71486,                0.76846,                0.58433,                0.69895,                0.64338,                0.61659,                0.20283,                0.91162,                 1.1768,                0.91603,                  1.022,              0.0009506,              0.0009506,              0.0009506
                     56,                0.76226,                 1.3601,                0.61452,                 1.0306,                0.85027,                 0.7526,                0.79223,                0.59794,                0.76824,                0.67894,                0.66116,                0.21161,                0.87743,                  1.165,                0.86274,                0.99653,              0.0009308,              0.0009308,              0.0009308
                     57,                0.77245,                 1.3554,                0.62821,                 1.0344,                0.79566,                  0.751,                0.77302,                0.57024,                0.71025,                0.67068,                0.63286,                0.20291,                0.95776,                 1.1689,                0.89728,                 1.0665,               0.000911,               0.000911,               0.000911
                     58,                0.75891,                 1.3505,                0.60971,                 1.0226,                0.81673,                0.73092,                0.78074,                0.59614,                0.73255,                0.66265,                0.63863,                0.21565,                0.92069,                 1.1638,                0.88527,                 1.0409,              0.0008912,              0.0008912,              0.0008912
                     59,                0.75673,                 1.3491,                0.61562,                 1.0218,                 0.8608,                0.70683,                0.78314,                0.59278,                0.78255,                0.64257,                 0.6373,                0.20807,                0.88409,                 1.1533,                0.88682,                 1.0135,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.7464,                 1.3314,                0.59918,                 1.0216,                0.86401,                0.73494,                0.80194,                0.60675,                0.80272,                0.65462,                0.65289,                0.21467,                0.87759,                 1.1544,                0.87021,                 1.0323,              0.0008516,              0.0008516,              0.0008516
                     61,                0.75107,                 1.3464,                0.60639,                 1.0203,                0.81291,                0.73092,                0.79405,                0.61195,                0.76417,                0.65066,                0.65897,                0.21427,                0.85128,                 1.1493,                0.88393,                 1.0064,              0.0008318,              0.0008318,              0.0008318
                     62,                0.75589,                  1.347,                0.59358,                 1.0227,                0.83878,                0.76305,                0.80038,                0.60708,                0.77997,                0.66911,                0.65738,                0.22019,                0.90311,                 1.1481,                0.84635,                 1.0284,               0.000812,               0.000812,               0.000812
                     63,                0.75002,                 1.3341,                 0.5943,                 1.0221,                0.85622,                 0.7414,                0.80388,                 0.6106,                0.75913,                0.65816,                0.63546,                0.21009,                0.84695,                 1.1756,                0.82862,                 1.0092,              0.0007922,              0.0007922,              0.0007922
                     64,                0.74633,                 1.3321,                0.59878,                 1.0193,                0.84406,                0.73092,                0.80127,                0.60048,                0.76373,                 0.6506,                0.63259,                0.21248,                0.88121,                 1.1586,                0.85854,                0.99186,              0.0007724,              0.0007724,              0.0007724
                     65,                0.74292,                  1.347,                0.59144,                 1.0138,                0.83127,                0.76707,                0.78768,                0.60792,                0.74216,                0.65462,                0.62494,                0.21431,                0.86945,                 1.1633,                0.81893,                 1.0285,              0.0007526,              0.0007526,              0.0007526
                     66,                0.73322,                 1.3307,                0.57146,                 1.0177,                0.82416,                0.73896,                 0.7872,                0.60365,                0.72419,                0.65462,                0.61823,                0.20848,                0.86474,                  1.191,                0.84377,                   1.02,              0.0007328,              0.0007328,              0.0007328
                     67,                0.74786,                 1.3492,                0.59063,                 1.0141,                0.82931,                0.74297,                0.78431,                0.60946,                0.74987,                 0.6747,                0.64862,                0.22305,                0.86409,                 1.1548,                0.85154,                0.99584,               0.000713,               0.000713,               0.000713
                     68,                0.71655,                 1.3181,                0.56073,                 1.0119,                0.83612,                0.75812,                0.78048,                 0.6122,                0.76004,                0.69076,                0.64421,                0.20711,                0.84373,                 1.1748,                0.82352,                  1.017,              0.0006932,              0.0006932,              0.0006932
                     69,                0.72914,                 1.3336,                0.56751,                 1.0045,                0.79331,                0.75502,                0.77893,                0.60383,                0.74301,                 0.6747,                0.63731,                0.20354,                0.87251,                 1.1877,                0.86526,                 1.0177,              0.0006734,              0.0006734,              0.0006734
                     70,                0.70798,                 1.3281,                0.55987,                 1.0036,                0.80849,                0.73092,                0.76301,                0.59547,                 0.6964,                0.71888,                0.62913,                0.19965,                0.87413,                 1.1945,                0.84505,                 1.0223,              0.0006536,              0.0006536,              0.0006536
                     71,                 0.7145,                 1.3235,                 0.5482,                 0.9995,                0.80273,                 0.7751,                0.77079,                0.59849,                0.72786,                0.70281,                0.64425,                0.20558,                0.88824,                 1.1726,                 0.8552,                 1.0139,              0.0006338,              0.0006338,              0.0006338
                     72,                0.72361,                 1.3374,                0.54797,                 1.0059,                0.80582,                 0.7833,                0.80012,                0.62644,                0.75831,                0.70281,                 0.6669,                0.22105,                0.85254,                 1.1756,                0.83206,                0.99494,               0.000614,               0.000614,               0.000614
                     73,                0.70272,                 1.3198,                0.53761,                0.99773,                0.83622,                0.73817,                0.77116,                 0.5974,                0.76327,                 0.6747,                0.65009,                0.21295,                0.85562,                 1.1703,                0.83687,                 1.0011,              0.0005942,              0.0005942,              0.0005942
                     74,                0.69334,                 1.3037,                0.53865,                0.99404,                0.79699,                0.79116,                0.78464,                0.59869,                0.79389,                0.68062,                0.67081,                0.20817,                0.86645,                 1.1841,                0.82652,                 1.0038,              0.0005744,              0.0005744,              0.0005744
                     75,                 0.7024,                 1.3025,                0.53682,                0.99612,                0.81614,                0.76655,                0.78463,                0.60281,                 0.7498,                0.66196,                0.63384,                0.21229,                0.85164,                 1.1704,                0.83782,                 1.0096,              0.0005546,              0.0005546,              0.0005546
                     76,                0.70319,                  1.315,                0.53727,                0.99288,                0.81283,                0.78485,                 0.7864,                0.60327,                0.74124,                0.69076,                0.63941,                0.20292,                0.87912,                 1.1981,                0.84733,                  1.029,              0.0005348,              0.0005348,              0.0005348
                     77,                0.69762,                 1.3012,                0.53533,                0.99717,                0.82085,                0.73494,                0.78206,                0.61984,                0.75417,                 0.6747,                0.66192,                0.21173,                0.85243,                 1.1765,                0.85059,                 1.0002,               0.000515,               0.000515,               0.000515
                     78,                0.67557,                 1.2673,                0.51584,                 0.9908,                0.80986,                0.76305,                0.76993,                0.59459,                0.73897,                0.64805,                0.61473,                0.21213,                0.86768,                 1.2012,                0.83863,                 1.0193,              0.0004952,              0.0004952,              0.0004952
                     79,                0.68035,                  1.301,                0.50853,                0.98447,                0.86191,                0.73896,                0.79386,                0.61263,                0.78922,                0.67068,                0.66836,                0.21127,                0.86658,                 1.1743,                0.80673,                 1.0169,              0.0004754,              0.0004754,              0.0004754
                     80,                 0.6863,                 1.2916,                0.51902,                0.98874,                0.84891,                0.72289,                0.77327,                0.59831,                0.76437,                0.64659,                0.64586,                0.21945,                0.83833,                 1.1646,                0.84933,                0.99719,              0.0004556,              0.0004556,              0.0004556
                     81,                0.68277,                 1.2954,                0.51253,                0.98747,                0.85925,                0.71102,                0.78463,                0.61975,                0.76241,                 0.6315,                0.62099,                0.21401,                 0.8304,                 1.1848,                0.83704,                 1.0025,              0.0004358,              0.0004358,              0.0004358
                     82,                0.68406,                 1.3121,                 0.5114,                0.98042,                0.82668,                0.74707,                0.78079,                0.60243,                0.74476,                0.65863,                0.63096,                 0.2125,                0.85385,                 1.1759,                0.83622,                 1.0196,               0.000416,               0.000416,               0.000416
                     83,                0.67485,                 1.2711,                0.49088,                0.98648,                0.85411,                0.72691,                0.77342,                0.58739,                0.78452,                0.66265,                 0.6564,                0.20832,                0.85397,                 1.1871,                0.83434,                 1.0178,              0.0003962,              0.0003962,              0.0003962
                     84,                0.67004,                 1.2856,                0.49814,                0.97957,                0.86824,                0.74103,                0.77759,                0.60059,                0.72548,                0.72289,                0.66058,                0.21529,                0.88147,                 1.1632,                0.80376,                 1.0454,              0.0003764,              0.0003764,              0.0003764
                     85,                0.66181,                 1.2706,                 0.4894,                0.97571,                0.83106,                0.75071,                0.78645,                0.61075,                0.75084,                0.67773,                0.66239,                0.21077,                0.86139,                 1.1746,                0.81608,                 1.0187,              0.0003566,              0.0003566,              0.0003566
                     86,                0.66546,                 1.2844,                0.49307,                0.98067,                0.78734,                0.78807,                0.77057,                0.60672,                0.75905,                0.70281,                0.66783,                  0.218,                0.84123,                 1.1874,                0.83093,                  0.997,              0.0003368,              0.0003368,              0.0003368
                     87,                0.67106,                 1.2777,                0.48743,                0.98287,                0.82654,                0.74699,                0.76612,                0.59991,                0.70148,                0.67949,                0.62499,                0.21089,                0.86157,                  1.185,                0.85975,                 1.0088,               0.000317,               0.000317,               0.000317
                     88,                0.67191,                 1.2806,                0.47683,                0.98171,                0.82796,                0.73445,                0.75463,                0.57675,                0.75561,                0.66265,                0.62191,                0.20418,                0.86972,                 1.1885,                0.86725,                 1.0237,              0.0002972,              0.0002972,              0.0002972
                     89,                0.66259,                 1.2669,                0.47487,                0.97813,                0.80341,                0.75499,                0.76472,                0.59452,                0.76482,                0.66667,                0.63957,                0.20774,                0.84186,                 1.1789,                 0.8256,                 1.0132,              0.0002774,              0.0002774,              0.0002774
                     90,                0.66175,                 1.2695,                0.46532,                0.97652,                0.83246,                0.73494,                0.74942,                0.57759,                0.73842,                0.65462,                0.61274,                0.19855,                0.86536,                 1.1768,                0.84229,                 1.0239,              0.0002576,              0.0002576,              0.0002576
